id,state,year,quarter,district,transaction_count,transaction_amount
281,andhra-pradesh,2021,4,"srikakulam district",18501857,39713657870.15512
282,andhra-pradesh,2021,4,"spsr nellore district",41921081,92256405076.26547
283,andhra-pradesh,2021,4,"vizianagaram district",17253059,36577529464.9687
284,andhra-pradesh,2021,4,"visakhapatnam district",82711538,159530099772.73474
285,andhra-pradesh,2021,4,"prakasam district",27858275,71323060008.47623
286,andhra-pradesh,2021,4,"anantapur district",36129136,81239787006.64764
287,andhra-pradesh,2021,4,"ysr district",26340348,69081850069.2033
288,andhra-pradesh,2021,4,"west godavari district",33235175,81292461575.08182
289,andhra-pradesh,2021,4,"kurnool district",31782248,73968947669.64754
290,andhra-pradesh,2021,4,"chittoor district",51119640,103985734663.73514
291,andhra-pradesh,2021,4,"guntur district",50919286,115553993673.17337
292,andhra-pradesh,2021,4,"krishna district",55489829,125015323207.89836
293,andhra-pradesh,2022,1,"east godavari district",54738830,121067103712.79568
294,andhra-pradesh,2022,1,"srikakulam district",20990782,46898912115.649216
295,andhra-pradesh,2022,1,"spsr nellore district",47645702,104895571602.13988
296,andhra-pradesh,2022,1,"vizianagaram district",19278262,41994853361.58879
297,andhra-pradesh,2022,1,"visakhapatnam district",88233362,170120350591.26004
298,andhra-pradesh,2022,1,"prakasam district",31340975,79494373254.71565
299,andhra-pradesh,2022,1,"anantapur district",40613148,90197023268.43825
300,andhra-pradesh,2022,1,"ysr district",29783739,78421693518.90942
301,andhra-pradesh,2022,1,"west godavari district",37271259,92397939903.60938
302,andhra-pradesh,2022,1,"kurnool district",35093633,81568420500.54749
303,andhra-pradesh,2022,1,"chittoor district",58561024,117900595508.634
304,andhra-pradesh,2022,1,"guntur district",57226996,129673727687.08942
305,andhra-pradesh,2022,1,"krishna district",61826199,139690081529.49048
306,andhra-pradesh,2022,2,"east godavari district",62072845,135531452997.6391
307,andhra-pradesh,2022,2,"srikakulam district",23727353,53754764122.4327
308,andhra-pradesh,2022,2,"spsr nellore district",54838708,121941082043.49483
309,andhra-pradesh,2022,2,"vizianagaram district",21766135,47294745020.495636
310,andhra-pradesh,2022,2,"visakhapatnam district",101387402,193242841582.14285
311,andhra-pradesh,2022,2,"prakasam district",36163507,90435082545.97766
312,andhra-pradesh,2022,2,"anantapur district",46099366,102138758015.76915
313,andhra-pradesh,2022,2,"ysr district",33154559,87601310069.59737
314,andhra-pradesh,2022,2,"west godavari district",44409239,107973244960.42824
315,andhra-pradesh,2022,2,"kurnool district",40165692,92409350855.50198
316,andhra-pradesh,2022,2,"chittoor district",67507661,136435445124.75616
317,andhra-pradesh,2022,2,"guntur district",66315749,147098141568.7623
318,andhra-pradesh,2022,2,"krishna district",73525814,163997729295.93134
319,andhra-pradesh,2022,3,"east godavari district",61467134,129677722169.74829
320,andhra-pradesh,2022,3,"srikakulam district",22126541,46899962921.785614
321,andhra-pradesh,2022,3,"spsr nellore district",42116582,95099325968.25972
322,andhra-pradesh,2022,3,"vizianagaram district",20440645,42513313394.84207
323,andhra-pradesh,2022,3,"visakhapatnam district",97434546,181124419863.61444
324,andhra-pradesh,2022,3,"prakasam district",35376080,87475230073.46387
325,andhra-pradesh,2022,3,"anantapur district",45165363,97735649608.10074
326,andhra-pradesh,2022,3,"ysr district",33119038,86016932181.12372
327,andhra-pradesh,2022,3,"west godavari district",43635951,101706854744.31876
328,andhra-pradesh,2022,3,"kurnool district",39557913,88415335176.31995
329,andhra-pradesh,2022,3,"chittoor district",65751781,133053581631.6395
330,andhra-pradesh,2022,3,"guntur district",65612317,141588522953.23773
331,andhra-pradesh,2022,3,"krishna district",71051144,153770559025.69125
332,andhra-pradesh,2022,4,"east godavari district",68016055,136531110139.86256
333,andhra-pradesh,2022,4,"srikakulam district",23693779,47726411107.88628
334,andhra-pradesh,2022,4,"spsr nellore district",42582064,92085916180.6851
335,andhra-pradesh,2022,4,"vizianagaram district",22205190,44467386404.34758
336,andhra-pradesh,2022,4,"visakhapatnam district",103790055,185306149744.73108
337,andhra-pradesh,2022,4,"prakasam district",37211077,88105031866.36835
338,andhra-pradesh,2022,4,"anantapur district",48299601,101533878537.23433
339,andhra-pradesh,2022,4,"ysr district",35201596,87360426792.81667
340,andhra-pradesh,2022,4,"west godavari district",47919930,105335724990.59325
341,andhra-pradesh,2022,4,"kurnool district",43524766,94667441029.08345
342,andhra-pradesh,2022,4,"chittoor district",70322534,136840859888.18155
343,andhra-pradesh,2022,4,"guntur district",70723763,146938735166.52365
344,andhra-pradesh,2022,4,"krishna district",76526667,157826011193.35443
345,andhra-pradesh,2023,1,"east godavari district",115196449,223454724672
346,andhra-pradesh,2023,1,"srikakulam district",42209999,86486032409
347,andhra-pradesh,2023,1,"spsr nellore district",71318689,143967164643
348,andhra-pradesh,2023,1,"vizianagaram district",38838861,76472384525
349,andhra-pradesh,2023,1,"visakhapatnam district",164358781,277211090180
350,andhra-pradesh,2023,1,"prakasam district",63671149,141672839638
351,andhra-pradesh,2023,1,"anantapur district",82127373,162287796625
352,andhra-pradesh,2023,1,"ysr district",59768512,140117633668
353,andhra-pradesh,2023,1,"west godavari district",79094558,165941144654
354,andhra-pradesh,2023,1,"kurnool district",72405172,149100361797
355,andhra-pradesh,2023,1,"chittoor district",120192355,218037027226
356,andhra-pradesh,2023,1,"guntur district",114246185,226244225817
357,andhra-pradesh,2023,1,"krishna district",122104381,238058890676
358,andhra-pradesh,2023,2,"east godavari district",131243375,245134717109
359,andhra-pradesh,2023,2,"srikakulam district",47633204,93082175904
360,andhra-pradesh,2023,2,"spsr nellore district",82056071,165181391414
361,andhra-pradesh,2023,2,"vizianagaram district",43625851,82671020353
362,andhra-pradesh,2023,2,"visakhapatnam district",184918179,303874597259
363,andhra-pradesh,2023,2,"prakasam district",73598725,158428689659
364,andhra-pradesh,2023,2,"anantapur district",91695174,180050369328
365,andhra-pradesh,2023,2,"ysr district",66809788,156231915019
366,andhra-pradesh,2023,2,"west godavari district",92533269,187699526244
367,andhra-pradesh,2023,2,"kurnool district",81475907,166991990104
368,andhra-pradesh,2023,2,"chittoor district",136283483,245550525910
369,andhra-pradesh,2023,2,"guntur district",132035450,254140764680
370,andhra-pradesh,2023,2,"krishna district",141748488,267001403933
371,andhra-pradesh,2023,3,"east godavari district",148701666,260414286361
372,andhra-pradesh,2023,3,"srikakulam district",51382393,91818203167
373,andhra-pradesh,2023,3,"spsr nellore district",93875073,176593750929
374,andhra-pradesh,2023,3,"vizianagaram district",47856766,83289704541
375,andhra-pradesh,2023,3,"visakhapatnam district",209884966,328927220951
376,andhra-pradesh,2023,3,"prakasam district",84447202,171207298619
377,andhra-pradesh,2023,3,"anantapur district",104539628,192477441164
378,andhra-pradesh,2023,3,"ysr district",76091693,168218516193
379,andhra-pradesh,2023,3,"west godavari district",102962058,191891823401
380,andhra-pradesh,2023,3,"kurnool district",92890445,172979053545
