id,state,year,quarter,transaction_type,transaction_count,transaction_amount
206,andhra-pradesh,2021,2,"Peer-to-peer payments",189614879,737004484057.439
207,andhra-pradesh,2021,2,"Merchant payments",112875274,88512429436.91248
208,andhra-pradesh,2021,2,"Recharge & bill payments",49626902,24646800345.106976
209,andhra-pradesh,2021,2,"Financial Services",243237,265483044.40124667
210,andhra-pradesh,2021,2,Others,406842,308302224.3856007
211,andhra-pradesh,2021,3,"Peer-to-peer payments",221280317,837841124664.307
212,andhra-pradesh,2021,3,"Merchant payments",158290953,118164377968.16754
213,andhra-pradesh,2021,3,"Recharge & bill payments",51702350,27511344958.24361
214,andhra-pradesh,2021,3,"Financial Services",211171,297239697.83073866
215,andhra-pradesh,2021,3,Others,547759,403948275.56756073
216,andhra-pradesh,2021,4,"Peer-to-peer payments",262006450,971269765249.1282
217,andhra-pradesh,2021,4,"Merchant payments",207538904,152883933596.5386
218,andhra-pradesh,2021,4,"Recharge & bill payments",51762842,31232784713.985794
219,andhra-pradesh,2021,4,"Financial Services",243951,332740108.6635881
220,andhra-pradesh,2021,4,Others,701856,545223415.6638832
221,andhra-pradesh,2022,1,"Peer-to-peer payments",288488560,1089629182596.4781
222,andhra-pradesh,2022,1,"Merchant payments",242031836,169419685917.19562
223,andhra-pradesh,2022,1,"Recharge & bill payments",51224170,34473036841.83001
224,andhra-pradesh,2022,1,"Financial Services",231651,324358965.11859065
225,andhra-pradesh,2022,1,Others,627694,474382234.25397474
226,andhra-pradesh,2022,2,"Peer-to-peer payments",321362337,1231408926513.7114
227,andhra-pradesh,2022,2,"Merchant payments",292530048,205433660654.20898
228,andhra-pradesh,2022,2,"Recharge & bill payments",56606969,42408541939.06145
229,andhra-pradesh,2022,2,"Financial Services",192751,245783011.04455262
230,andhra-pradesh,2022,2,Others,441925,357036084.9071137
231,andhra-pradesh,2022,3,"Peer-to-peer payments",298804000,1140164525892.7397
232,andhra-pradesh,2022,3,"Merchant payments",291033653,202910820650.0824
233,andhra-pradesh,2022,3,"Recharge & bill payments",52467708,41438764826.20322
234,andhra-pradesh,2022,3,"Financial Services",187190,239347241.54655045
235,andhra-pradesh,2022,3,Others,362484,323951101.5715289
236,andhra-pradesh,2022,4,"Merchant payments",321632104,211898851397.09848
237,andhra-pradesh,2022,4,"Peer-to-peer payments",315734006,1170249585983.0112
238,andhra-pradesh,2022,4,"Recharge & bill payments",52098850,41986837706.47902
239,andhra-pradesh,2022,4,"Financial Services",206459,250596592.06465048
240,andhra-pradesh,2022,4,Others,345658,339211363.0027188
